link,id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,Unnamed: 31,Unnamed: 32
https://m.weibo.cn/detail/4895092257851020,4895092257851020,MDTMBwWpm,#三只松鼠# 通知：还有两天就要放假了有事留在节后说 ,,https://wx1.sinaimg.cn/large/98960f80ly1hddzb8itcaj20ph0ehn4a.jpg,,,27/04/2023,微博网页版,95,67,10,三只松鼠,,27/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894888400789205,4894888400789205,MDOtO3jj7,#刷完这条说晚安# 如果阿鼠会魔法，你想让我做什么？ ,,,,,26/04/2023,微博网页版,68,63,10,刷完这条说晚安,,26/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894817861767304,4894817861767304,MDME27pKU,#三只松鼠# 不忘初心志长空，满腔热血向未来阿鼠与@五谷道场官方微博 一起，邀您共赴长空之约关注@三只松鼠 及@五谷道场官方微博 ，并带话题#一碗非油炸好面致敬英雄# 转发，抽1位主人送【电影通兑券1张+五谷道场产品1份】！,,,,,26/04/2023,微博网页版,52,75,162,"三只松鼠,一碗非油炸好面致敬英雄","五谷道场官方微博,三只松鼠,五谷道场官方微博",26/04/2023 16:49,False,2316518354.0,五谷道场官方微博,4894813529312755.0,MDMx2D4FJ,电影马上就要上映啦！谷子又来送电影票咯~以青春之名，续写长空传奇！以战机为伴，传承热血未来！关注@五谷道场官方微博，带话题#一碗非油炸好面致敬英雄#，转发并评论本条微博，说说你身边的英雄故事，5月5日抽8位粉丝宝宝送电影通兑券1张+五谷道场产品1份！这个五一假期，#长空之王# 官方合作伙伴五谷道场和你影院见！@微博抽奖平台 五谷道场官方微博的微博视频 抽奖详情,,,"https://f.video.weibocdn.com/o0/DwkRqlQLlx084YcIvm88010412004gfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1683359970&ssig=kZs5J5VFUg&KID=unistore,video",,26/04/2023,微博视频号,370.0,415.0,2767.0,"一碗非油炸好面致敬英雄,长空之王","五谷道场官方微博,微博抽奖平台",26/04/2023 16:32
https://m.weibo.cn/detail/4894708574192323,4894708574192323,MDJNLhAC7,#坚果值班手记#我是今天的值班坚果—脆皮夏威夷果值班时间：11:00—15:00千万别在办公室吃我我怕芥末味/咸蛋黄味的自己太香活不过5分钟#三只松鼠# 大声告诉我，你们还希望出哪种口味？ ,,"https://wx3.sinaimg.cn/large/98960f80ly1hdculsp131j20c10gignw.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hdculnmthmj20c10gi407.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdculstbdyj20c10gidia.jpg",,,26/04/2023,三只松鼠超话,77,76,12,"坚果值班手记,三只松鼠",,26/04/2023 9:35,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894813529312755,4894813529312755,MDMx2D4FJ,电影马上就要上映啦！谷子又来送电影票咯~以青春之名，续写长空传奇！以战机为伴，传承热血未来！关注@五谷道场官方微博，带话题#一碗非油炸好面致敬英雄#，转发并评论本条微博，说说你身边的英雄故事，5月5日抽8位粉丝宝宝送电影通兑券1张+五谷道场产品1份！这个五一假期，#长空之王# 官方合作伙伴五谷道场和你影院见！@微博抽奖平台 五谷道场官方微博的微博视频 抽奖详情,,,"https://f.video.weibocdn.com/o0/DwkRqlQLlx084YcIvm88010412004gfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1683359971&ssig=5MiggE7Qte&KID=unistore,video",,26/04/2023,微博视频号,370,415,2767,"一碗非油炸好面致敬英雄,长空之王","五谷道场官方微博,微博抽奖平台",26/04/2023 16:32,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894526181475375,4894526181475375,MDF3A6bOn,#冷门又有趣的城市#主人们快来安利一波五一抢不到票的阿鼠重新燃起了信心 ,,,,,25/04/2023,,34,36,9,冷门又有趣的城市,,25/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894447508392326,4894447508392326,MDD0Gzde6,风景正好，带上好心情，阿鼠带你去露营#跟着塔塔趣撒野#本期露营好物推荐：@三只松鼠 自然新鲜的坚果和芒果干@塔斯汀汉堡中国 手擀现烤的香辣鸡腿堡关注@三只松鼠 和@塔斯汀汉堡中国 ，带话题#跟着塔塔趣撒野#转发并评论本条微博，聊聊你露营必带的东西是什么呢？#三只松鼠# 阿鼠将会在5月6日揪1名主人送出【塔斯汀香辣鸡腿中国汉堡套餐*7份】和【每日坚果*1份】！ #手擀现烤中国汉堡开创者#,,"https://wx1.sinaimg.cn/large/98960f80ly1hdc0fqstsfj215o1jk7wh.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hdc0fo14u5j214i1k2nbs.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hdc0fneti9j214f1igtgv.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hdc0fnoitlj214k1kath7.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdc0fpq9e6j20uy1afqbb.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hdc0foc7hbj21541kw7cw.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdc0fp0x1fj21661mtal7.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdc0fpdb9wj20wj1cstl5.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hdc0fopw0wj21421kcal9.jpg",,,25/04/2023,微博网页版,116,187,252,"跟着塔塔趣撒野,跟着塔塔趣撒野,三只松鼠,手擀现烤中国汉堡开创者","三只松鼠,塔斯汀汉堡中国,三只松鼠,塔斯汀汉堡中国",25/04/2023 16:18,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894418874403193,4894418874403193,MDCgvittf,#吃一口就上瘾零食分享#新品上新—薄脆饼干轻薄如纸，口口鲜香爆脆5种口味随心选择#三只松鼠# 阿鼠亲测，超薄超脆超好吃哒转发+关注@三只松鼠 ，请2位主人吃！ ,,"https://wx2.sinaimg.cn/large/98960f80ly1hdbx75tw9mj20m80m8n1a.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdbx75vtiaj20m80m8adx.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hdbx75tk5oj20m80m8td5.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hdbx75srl8j20m80m8djh.jpg",,,25/04/2023,三只松鼠超话,104,114,265,"吃一口就上瘾零食分享,三只松鼠",三只松鼠,25/04/2023 14:24,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894367468751222,4894367468751222,MDAVAAIAK,#坚果值班手记#我是今天的值班坚果—益生菌每日坚果值班时间：11:00—14:00当每日坚果遇上益生菌便成就了独一无二的我双重营养buff，活力 up up up ,,"https://wx1.sinaimg.cn/large/98960f80ly1hdbow8qoekj20ly0wy1kx.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hdbow7t8ncj20ly0wyb29.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hdbow9mdntj20ly0wy1jq.jpg",,,25/04/2023,微博网页版,35,34,6,坚果值班手记,,25/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894366844060580,4894366844060580,MDAUAh2le,我刚刚上传了动态视频封面，动态视频封面是微博视频号的个性化专属功能，快去我的主页看看吧~更多有趣、精彩的封面，尽在#视频号封面大赏# 三只松鼠的微博视频 ,,,"https://f.video.weibocdn.com/o0/mJ6a6458lx084WePxJji010412006kFt0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1683359969&ssig=K0uLhJavCm&KID=unistore,video",,25/04/2023,微博视频号,16,14,4,视频号封面大赏,,25/04/2023 10:57,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894163625578081,4894163625578081,MDvCOnp73,#刷完这条说晚安# 翻到了上个月的私信说真的，第一个问题阿鼠也想知道答案 ,,https://wx4.sinaimg.cn/large/98960f80ly1hdawv8o2pwj20c603tglq.jpg,,,24/04/2023,微博网页版,62,50,7,刷完这条说晚安,,24/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4894065478601871,4894065478601871,MDt4vA5JR,亲爱的主人们，阿鼠来报道啦！三只松鼠京东自营旗舰店七周年店庆热闹排面必须有#三只松鼠# 悄悄告诉大家，这次有超豪华的买一送一活动哦！4月24日晚8点主人们只需进店购买带有“买一赠一”字样的产品直接get双倍快乐数量有限，赶快和你的小伙伴一起来七周年狂欢嗨起来关注@三只松鼠 并带话题#七周年生日快乐#转发此条微博，抽7位主人送巨型零食大礼包各一份！,,https://wx4.sinaimg.cn/large/98960f80ly1hdajhwdadkj20v91awu0u.jpg,,,24/04/2023,微博网页版,146,267,420,"三只松鼠,七周年生日快乐",三只松鼠,24/04/2023 15:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893986559100545,4893986559100545,MDr1dCbsZ,#昨天周一 今天还是周一#嗨！松鼠窝的花花、草草、大树，湖里的鹅早上好呀#三只松鼠# 勤劳的鼠鼠我呀，正在上班啦！谢谢你们的祝福！（周一谁能不疯啊 ,,https://wx2.sinaimg.cn/large/98960f80ly1hdajp3hsgij21hc0u0adw.jpg,,,24/04/2023,三只松鼠超话,57,59,11,"昨天周一 今天还是周一,三只松鼠",,24/04/2023 9:46,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893801237185661,4893801237185661,MDmcju9jL,#刷完这条说晚安#你目前正在认真读的一本书是什么书？ #4.23世界读书日# ,,,,,23/04/2023,微博网页版,32,33,8,"刷完这条说晚安,4.23世界读书日",,23/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893703841777611,4893703841777611,MDjFe7sr9,#吃一口就上瘾零食分享#新品上新—切片曲奇一块曲奇的自我修养就是：好吃好吃好吃奶香蔓越莓味 x 抹茶蜜豆味咔嚓一口，即刻感受香脆花式搭配，想吃就吃转发+关注@三只松鼠 ，抽2位主人送！ ,,"https://wx2.sinaimg.cn/large/98960f80ly1hd9mzc7fa1j20by0by0uf.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd9mzc82tfj20by0by3zl.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hd9mzc7d5wj20by0bymyu.jpg",,,23/04/2023,三只松鼠超话,152,169,447,吃一口就上瘾零食分享,三只松鼠,23/04/2023 15:02,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893616638264712,4893616638264712,MDhozyG1O,#周日上班#划重点：周日再划重点：上班谁的闹钟早上没响 ,,"https://wx1.sinaimg.cn/large/98960f80ly1hd9d72piqbj21900u0n3y.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hd9d70nbrcj21900u07bd.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd9d7023aqj21900u079x.jpg",,,23/04/2023,三只松鼠超话,60,58,6,周日上班,,23/04/2023 9:16,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893438849581955,4893438849581955,MDcLOEcHF,#刷完这条说晚安# 能让你瞬间支棱起来面对明天补班的食物是_____ ,,,,,22/04/2023,微博网页版,44,41,6,刷完这条说晚安,,22/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893280308824284,4893280308824284,MD8E6B1Ba,#坚果值班手记#我是今天的值班零食—酸辣粉值班时间：11:00—16:00一碗酸辣，人生滚烫#三只松鼠# 酸辣粉文笔挑战：一口嗦粉，_____ ,,"https://wx2.sinaimg.cn/large/98960f80ly1hd68ozfi0bj20m80m8ni8.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd68p04wa6j20m80m81kx.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hd68p0ui1hj20m80m8txg.jpg",,,22/04/2023,微博网页版,62,51,13,"坚果值班手记,三只松鼠",,22/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893076462502724,4893076462502724,MD3lkav4w,周五晚上：明天我一定早起出去玩周六早上：我真的起不来同款主人在哪里#刷完这条说晚安# ,,,,,21/04/2023,微博网页版,47,49,7,刷完这条说晚安,,21/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893036729603230,4893036729603230,MD2jeEieO,#三只松鼠# 今天也是被小朋友们的宠爱围绕的一天呐努力做一个被所有小朋友喜欢的小阿鼠#展世界坚果享合作共赢# ,,"https://wx4.sinaimg.cn/large/98960f80ly1hd7ilnqndlj20u0140n8b.jpg,https://wx4.sinaimg.cn/large/98960f80ly1hd7ilm3fm4j20u0140480.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7ilj8vbaj20u01407gh.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7ilhtym7j20u0140141.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7ilkes1fj20u0140144.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd7ill5cavj20u0140k3e.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hd7illmmzaj20u014014n.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7iln52j5j20u01404ac.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd7ilmn9vdj20u0140qdy.jpg",,,21/04/2023,,69,47,8,"三只松鼠,展世界坚果享合作共赢",,21/04/2023 18:52,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4893022791928613,4893022791928613,MD1WL85IF,#三只松鼠# 这是谁平平无奇的周五我不说 ,,"https://wx1.sinaimg.cn/large/98960f80ly1hd7bmc1b0uj20rs0xtgqk.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7bmdl325j20rs0xtq8p.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7bmcnwm9j20rs0w6gq8.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7bme89wtj20rs0w6jx5.jpg,https://wx2.sinaimg.cn/large/98960f80ly1hd7bmdc9kcj20rs0vnjw8.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd7bmeotf4j20rs0vn43x.jpg",,,21/04/2023,微博网页版,56,30,6,三只松鼠,,21/04/2023 17:56,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4892917917287474,4892917917287474,MCZdBuzNU,#夏威夷果的中国味#一个喜欢坚果的阿鼠能有什么坏心思呢？开心就好啦#宝藏坚果图鉴# ,,"https://wx4.sinaimg.cn/large/98960f80ly1hd728hwb7hj20c10gin1r.jpg,https://wx1.sinaimg.cn/large/98960f80ly1hd728hnefej20c10gi0w9.jpg,https://wx3.sinaimg.cn/large/98960f80ly1hd728i52p2j20c10gi43g.jpg",,,21/04/2023,微博网页版,49,37,5,"夏威夷果的中国味,宝藏坚果图鉴",,21/04/2023 11:00,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4892714073855231,4892714073855231,MCTUPgaV9,#刷完这条说晚安# 在上下班/学途中你遇见过哪些奇奇怪怪可可爱爱的站名 ,,,,,20/04/2023,微博网页版,33,29,5,刷完这条说晚安,,20/04/2023 21:30,True,,,,,,,,,,,,,,,,,
https://m.weibo.cn/detail/4892609200261452,4892609200261452,MCRbG160Y,#夏威夷果的中国味# 阿鼠可以永远相信主人来一场说走就走的旅行【保温杯】送给主人，多带阿鼠看更大的世界哇#宝藏坚果图鉴#,,,,,20/04/2023,微博网页版,26,18,7,"夏威夷果的中国味,宝藏坚果图鉴",,20/04/2023 14:33,False,6084472168.0,爱星星的大熊猫,4892314029265405.0,MCJvACSm1,#夏威夷果的中国味# “可得解脱处，唯山水间，于神佛前”@三只松鼠 无锡·灵山大佛 ,,"https://wx3.sinaimg.cn/large/006DLP9Sly1hd57jrv63uj33342bcx6s.jpg,https://wx4.sinaimg.cn/large/006DLP9Sly1hd57kguy7jj33342bcx6t.jpg,https://wx4.sinaimg.cn/large/006DLP9Sly1hd57ks5htbj33342bckjo.jpg,https://wx1.sinaimg.cn/large/006DLP9Sly1hd57l5mdvej33342bcb2b.jpg,https://wx3.sinaimg.cn/large/006DLP9Sly1hd57lbz2brj33342bckjm.jpg,https://wx2.sinaimg.cn/large/006DLP9Sly1hd57lhlx38j33342bchdu.jpg,https://wx3.sinaimg.cn/large/006DLP9Sly1hd57lpsprej33342bc7wj.jpg,https://wx4.sinaimg.cn/large/006DLP9Sly1hd57lwnqwxj33342bchdv.jpg,https://wx4.sinaimg.cn/large/006DLP9Sly1hd57m7uw2fj33342bc4qt.jpg",,无锡·灵山大佛,19/04/2023,三只松鼠超话,4.0,1.0,8.0,夏威夷果的中国味,三只松鼠,19/04/2023 19:00
