id,bid,正文,头条文章url,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文
4819550000000000.0,M8czqdku8,#庆祝新中国成立73周年#【我爱你，中国！】今天是你的生日，我的中国！愿你山河锦绣，愿你繁荣富强！转发写下美好祝福，一起点亮国旗图标！#祝新中国生日快乐# ,,1/10/2022,微博 weibo.com,397786,146525,10633882,"庆祝新中国成立73周年,祝新中国生日快乐",,1/10/2022 0:00,True,,,,
4846000000000000.0,MjiLG5qwQ,【今天，一起#向南京大屠杀遇难同胞致哀#】1937年12月13日，惨绝人寰的南京大屠杀发生。凌辱、火烧、活埋，40多天里有30万同胞遭日军屠杀。85年，从未忘记。#今天国家公祭日#，祭奠同胞，传递真相，继往开来，永志不忘！ ,,13/12/2022,微博网页版,270226,60219,4772597,"向南京大屠杀遇难同胞致哀,今天国家公祭日",,13/12/2022 0:00,True,,,,
4814940000000000.0,M6gHnoppt,#九一八91周年#【传递！这段历史不能忘更不敢忘！】1931年的今天，“九一八”事变爆发，中华民族开启了长达14年的浴血奋战。#勿忘九一八#！不忘曾经烽烟起，心中长鸣警钟声！铭记历史！吾辈自强！ ,,18/09/2022,微博 weibo.com,584303,59668,459369,"九一八91周年,勿忘九一八",,18/09/2022 6:50,True,,,,
4663660000000000.0,KqI992tb4,【一次抽奖次数非常多多多的活动】阿鼠掐指一算，今日727，宜吃啊吃❗❗❗既然如此，零食必须让你们想吃多少吃多少没别的原因，就是格局大！就是宠粉今天起，关注@三只松鼠＋转评赞本条微博⏰阿鼠会在8月5日-8月11日连续7天，每天抽77人，每人一份零食大礼包！✨期间还会额外抽出3位幸运吃货平分价值1w的夏日零食补给包消灭微博抽奖绝缘体，我就不信抽不到你🎉@微博抽奖平台,,27/07/2021,微博 weibo.com,9310,15018,16307,,"三只松鼠,微博抽奖平台",27/07/2021 20:00,True,,,,
